corpus	fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	imslp	musicbrainz	viaf	wikidata	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	score_integrity	imslp.1	key	mode	typesetter	text	pdf	score integrity	comments	staff_3_ambitus	staff_3_instrument	PDF	staff_4_ambitus	staff_4_instrument
beethoven_piano_sonatas	03-3	1: 3/4	1: 0	132	127	387.0	253	246	744.0	(((66,), (67,)), ((75,), (76,)))	1053.0	1152	670	0	0	198	C	2.3.0	Lydia Carlisi (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1794	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 3	3	Scherzo: Allegro	op.2/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 3	3. Scherzo: Allegro		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/03-3.mscx	False	30-89 (F#1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/a7c73d7a-21ff-3399-816c-aad2b82c0045		https://www.wikidata.org/wiki/Q145699	xml	47-89 (B2-F6)	piano	30-75 (F#1-Eb5)	piano														
beethoven_piano_sonatas	03-4	1: 6/8	1: 0	313	312	936.5	313	312	936.5		2716.25	3821	1893	0	0	793	C	2.3.0	Lydia Carlisi (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1794	1795	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 3	4	Allegro assai	op.2/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 3	4. Allegro assai		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/03-4.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/db3feebb-999f-3a75-bf1b-ddf6412c9b2d		https://www.wikidata.org/wiki/Q145699	xml	49-89 (C#3-F6)	piano	29-81 (F1-A5)	piano														
beethoven_piano_sonatas	04-1	1: 6/8	1: -3, 169: 0, 189: -3	362	362	1086.0	498	498	1494.0		3364.0	4011	2150	0	0	0					1796	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 4	1	Allegro molto e con brio	op.7					2019-03-05	3.02	Apple Macintosh			Sonata no. 4	1. Allegro molto e con brio		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/04-1.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/b2be5754-815a-3045-a4b4-1108b00ebbb9		https://www.wikidata.org/wiki/Q145699	xml	43-89 (G2-F6)	piano	29-75 (F1-Eb5)	piano														
beethoven_piano_sonatas	04-2	1: 3/4	1: 0	90	90	270.0	90	90	270.0		923.92	1446	600	0	0	0					1796	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 4	2	Largo con gran espressione	op.7					2019-03-05	3.02	Apple Macintosh			Sonata no. 4	2. Largo con gran espressione		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/04-2.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/59d4726f-889c-3bc0-ae22-923b3ad6f40f		https://www.wikidata.org/wiki/Q145699	xml	48-89 (C3-F6)		29-79 (F1-G5)															
beethoven_piano_sonatas	04-3	1: 3/4	1: -3	151	150	448.0	263	262	781.0		1198.5	1463	762	0	0	0					1796	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 4	3	"Allegro ""Trio"""	op.7					2019-03-05	3.02	Apple Macintosh			Sonata no. 4	"3. Allegro ""Trio"""		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/04-3.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/48c2ad24-3b7e-34b9-ab3b-8756ec40aa98		https://www.wikidata.org/wiki/Q145699	xml	50-89 (D3-F6)	piano	29-73 (F1-Db5)	piano														
beethoven_piano_sonatas	04-4	1: 2/4	1: -3, 154: -2	187	186	372.0	212	211	422.0		1076.75	3537	2021	0	0	0					1796	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 4	4	Rondo: Poco allegretto e grazioso	op.7					2019-03-05	3.02	Apple Macintosh			Sonata no. 4	4. Rondo: Poco allegretto e grazioso		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/04-4.mscx	False	29-91 (F1-G6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/642c3a1e-73d4-3d26-b8bb-759bdec6ca57		https://www.wikidata.org/wiki/Q145699	xml	51-91 (Eb3-G6)		29-72 (F1-C5)															
beethoven_piano_sonatas	05-1	1: 3/4	1: -3	284	284	852.0	389	389	1167.0		2143.5	2074	1177	0	0	310	c	2.3.0	Adrian Nagel (2.2.0), Hanné Becker (2.3.0)	AN	1795	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 5	1	Allegro molto e con brio	op.10/1					2019-03-05	3.02	Apple Macintosh			Sonata no. 5	1. Allegro molto e con brio		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/05-1.mscx	False	31-90 (G1-Gb6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/cbaec6c8-fe06-3f1a-abfd-95419e96275b	https://viaf.org/viaf/178009756	https://www.wikidata.org/wiki/Q145699	xml	46-90 (Bb2-Gb6)	piano	31-73 (G1-Db5)	piano														
beethoven_piano_sonatas	05-2	1: 2/4	1: -4	112	112	224.0	112	112	224.0		719.83	1560	857	0	0	252	Ab	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1795	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 5	2	Adagio molto	op.10/1					2019-03-05	3.02	Apple Macintosh			Sonata no. 5	2. Adagio molto		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/05-2.mscx	False	27-89 (Eb1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/efc4c635-2bc3-3e9a-afe0-b769f21fa5d5	https://viaf.org/viaf/178009756	https://www.wikidata.org/wiki/Q145699	xml	48-89 (C3-F6)		27-73 (Eb1-Db5)															
beethoven_piano_sonatas	05-3	1: 4/4	1: -3	124	122	488.0	171	168	672.0		1485.5	1975	986	0	0	313	c	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1795	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 5	3	Finale: Prestissimo	op.10/1					2019-03-05	3.02	Apple Macintosh			Sonata no. 5	3. Finale: Prestissimo		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/05-3.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/1d839de2-18aa-38d2-b012-ba7757c502f9	https://viaf.org/viaf/178009756	https://www.wikidata.org/wiki/Q145699	xml	35-89 (B1-F6)	piano	29-80 (F1-Ab5)	piano														
beethoven_piano_sonatas	06-1	1: 2/4	1: -1, 120: 2, 140: -1	206	202	406.0	410	404	808.5	(((67,), (68,)),)	1053.58	2575	1676	0	0	338	F	2.3.0	Adrian Nagel (2.2.0), Amelia Brey (2.3.0)	AB, AN	1796	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 6	1	Allegro	op.10/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 6	1. Allegro		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/06-1.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/41deedcc-ce29-3976-9fe5-0e812362d655		https://www.wikidata.org/wiki/Q145699	xml	36-89 (C2-F6)	piano	29-73 (F1-Db5)	piano														
beethoven_piano_sonatas	06-2	1: 3/4	1: -4, 41: -5, 128: -4	173	170	511.0	213	208	625.0		1622.0	1232	560	0	0	236	f	2.3.0	Gabriele Ortiz Würth (2.2.0), Adrian Nagel (2.3.0)	Johannes Hentschel, Victor Zheng	1796	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 6	2	Menuetto: Allegretto	op.10/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 6	2. Menuetto: Allegretto		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/06-2.mscx	False	32-89 (Ab1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/bbd38584-640e-3180-83b5-5ea1191a51d8		https://www.wikidata.org/wiki/Q145699	xml	48-89 (C3-F6)	piano	32-77 (Ab1-F5)	piano														
beethoven_piano_sonatas	06-3	1: 2/4	1: -1	152	150	300.0	185	182	364.0		862.75	1914	881	0	0	308	F	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1796	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 6	3	Presto	op.10/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 6	3. Presto		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/06-3.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/99938d1c-f9d2-3b5b-a114-264e1f0f80e4		https://www.wikidata.org/wiki/Q145699	xml	51-89 (Eb3-F6)	piano	29-77 (F1-F5)	piano														
beethoven_piano_sonatas	07-1	1: 4/4	1: 2, 135: 0, 186: 2	346	344	1376.0	471	468	1872.0		3634.5	3484	1974	0	0	527	D	2.3.0	Lydia Carlisi (2.2.0), Amelia Brey (2.3.0)	AB	1797	1798	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 7	1	Presto	op.10/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 7	1. Presto		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/07-1.mscx	False	26-90 (D1-F#6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/2f92e93a-90a6-3c0d-a7fb-ff03fb2d2a13		https://www.wikidata.org/wiki/Q145699	xml	48-90 (C3-F#6)	piano	26-88 (D1-E6)	piano														
beethoven_piano_sonatas	07-2	1: 6/8	1: -1	87	87	261.0	87	87	261.0		968.67	2072	1054	0	0	218	d	2.3.0	Lydia Carlisi (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1797	1798	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 7	2	Largo e mesto	op.10/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 7	2. Largo e mesto		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/07-2.mscx	False	30-89 (Gb1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/16bdccf7-68ab-3203-a444-6a763cdc57d4		https://www.wikidata.org/wiki/Q145699	xml	51-89 (D#3-F6)		30-74 (Gb1-D5)															
beethoven_piano_sonatas	07-3	1: 3/4	1: 2, 57: 1	89	86	258.0	145	140	420.0		760.0	682	427	0	0	92	D	2.3.0	Lydia Carlisi (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1797	1798	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 7	3	Menuetto: Allegro	op.10/3					2020-07-08	3.02	Microsoft Windows			Sonata no. 7	3. Menuetto: Allegro		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/07-3.mscx	False	30-88 (F#1-E6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/813a8489-8797-30d1-befe-ee8067b659df		https://www.wikidata.org/wiki/Q145699		54-88 (F#3-E6)	Piano	30-81 (F#1-A5)	Piano														
beethoven_piano_sonatas	07-4	1: 4/4	1: 2, 36: 0, 57: 2	115	113	452.0	115	113	452.0		1157.33	2143	1176	0	0	266	D	2.3.0	Lydia Carlisi (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1797	1798	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 7	4	Rondo	op.10/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 7	4. Rondo		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/07-4.mscx	False	30-89 (F#1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/5eb35b7a-ed13-3a5a-8654-c20531d44296		https://www.wikidata.org/wiki/Q145699	xml	45-89 (A2-F6)		30-79 (F#1-G5)															
beethoven_piano_sonatas	08-1	1: 4/4, 12: 2/2, 136: 4/4, 140: 2/2, 298: 4/4, 302: 2/2	1: -3, 140: 0, 198: -3	313	310	1247.88	444	441	1767.88	(((132, 133), (134, 135)),)	3786.38	4311	2116	0	0	503	c	2.3.0	Lydia Carlisi (2.2.0), John Heilig (2.3.0)	AN	1797	1798	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 8 'Pathetique'	1	Grave: Allegro di molto e con brio	op.13					2019-03-05	3.02	Apple Macintosh			Sonata no. 8 'Pathetique'	1. Grave: Allegro di molto e con brio		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/08-1.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/e1c58466-6c16-3e01-a52c-2483f041b84f		https://www.wikidata.org/wiki/Q145699	xml	43-89 (G2-F6)	piano	29-74 (F1-D5)	piano														
beethoven_piano_sonatas	08-2	1: 2/4	1: -4	73	73	146.0	73	73	146.0		495.21	1631	724	0	0	143	Ab	2.3.0	Lydia Carlisi (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1797	1798	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 8 'Pathetique'	2	Adagio cantabile	op.13					2019-03-05	3.02	Apple Macintosh			Sonata no. 8 'Pathetique'	2. Adagio cantabile		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/08-2.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/57c4a1d2-4cd1-3629-93d1-2f36aca922e3		https://www.wikidata.org/wiki/Q145699	xml	44-89 (Ab2-F6)	piano	29-68 (F1-Ab4)	piano														
beethoven_piano_sonatas	08-3	1: 2/2	1: -3	211	210	840.0	211	210	840.0		1997.67	2387	1539	0	0	365	c	2.3.0	Lydia Carlisi (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1797	1798	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 8 'Pathetique'	3	Rondo: Allegro	op.13					2019-03-05	3.02	Apple Macintosh			Sonata no. 8 'Pathetique'	3. Rondo: Allegro		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/08-3.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/0ea9a6a3-48b1-32d4-9dc2-bcebf94cbf05		https://www.wikidata.org/wiki/Q145699	xml	43-89 (G2-F6)	piano	29-80 (F1-Ab5)	piano														
beethoven_piano_sonatas	09-1	1: 4/4	1: 4	163	161	652.0	222	220	888.0	(((61,), (62,)),)	2170.0	2641	1290	0	0	351	E	2.3.0	Lydia Carlisi (2.2.0), Amelia Brey (2.3.0)	AB, AN	1798	1798	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 9	1	Allegro	op.14/1					2019-03-05	3.02	Apple Macintosh			Sonata no. 9	1. Allegro		Ludwig van Beethoven	3.6.2	1.1.1	beethoven_piano_sonatas/MS3	beethoven_piano_sonatas/MS3/09-1.mscx	False	28-90 (E1-F#6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/1cbc82c9-8808-34cc-ad23-3ebcc7942fb1	https://viaf.org/viaf/177202599	https://www.wikidata.org/wiki/Q145699	xml	46-90 (A#2-F#6)	piano	28-76 (E1-E5)	piano														
